points,MinimumPrice,MaximumPrice
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
89,7.0,500.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
87,6.0,325.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
93,12.0,770.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
88,6.0,325.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
92,11.0,670.0
